Old,Year,New,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/latest-business-database-template/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/leaking-of-market-sensitive-official-statistics/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/legal-department-within-ons/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/list-of-all-foi-requests-to-foi-team/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/list-of-organisations-that-provide-data-to-ons--population-and-demography/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/mobile-phone-and-pbx-voip-contracts/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/money-paid-to-trade-unions-by-ons-staff/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/monies-paid-to-solicitors-in-last-5-years/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/murali-kuracheti-correspondence/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/national-accounts-classification-committee--nacc-/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/national-accounts-treatment-of-renewable-obligation/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-datasets-and-commercial-availability/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-employee-political-impartiality/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-employees-and-communication-infrastructure/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-expenditure-on-stationery/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-ict-and-network-infrastructure/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-it-ict-framework-and-strategy/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-number-of-devices-of-different-types-in-use-at-ons/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-payroll-provider/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/ons-policy-on-public-bodies-and-on-hm-treasury-guidance--managing-public-money-/index.html,,TNA,,
